title,company,description,required_skills,category,experience_level,date,channel,message_id
የሥራ ቦታ,gmail,"**Senior Finance Manager / Chief Financial Officer (CFO) – Manufacturing & Project **#atta_trading_plc#finance#Addis_AbabaBachelor's degree in Finance, Accounting, or Manufacturing With related field of study with relevant work experience.Duties & Responsibilities:- Establish and improve the company's full financial system (accounting, cost control, budgeting, reporting).- Manage all financial activities, including cash flow, AR/AP, payroll, tax, banking, and audit.- Provide financial support fo",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158779
የሥራ ቦታ,hahujobs,"**Design Coordinator - Bridge Structure Engineer( Vacancy Code-Hahu Design/064/2026)**#ethiopian_engineering_corporation#engineering#Addis_AbabaBachelor's degree in Civil Engineering, Structural Engineering, Construction Engineering or in a related field of study with relevant work experienceDuties & Responsibilities:- Oversee geotechnical investigations and integrate findings into design solutions.- Review and approve detailed engineering drawings and BOQs.- Ensure compliance with national and ",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158778
የሥራ ቦታ,hahujobs,"**Senior BIM Modeler (Architect) (Vacancy code- Hahu Design /065/2026)**#ethiopian_engineering_corporation#engineering#Addis_AbabaBachelor of Science Degree in Architecture, Civil Engineering, Electrical Engineering, or Mechanical Engineering or a related field of study.Duties & Responsibilities:- Provide CAD drafting/BIM modeling and design support.- Provide structural design models & statistical reports.- Coordinate and manage Revit models- Create Revit families and CAD blocks**Quanitity Requi",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158777
የሥራ ቦታ,hahujobs,"**Driver VI (High Bed ****/Low**** Bed)**#ethiopian_engineering_corporation#transportation_and_logistics#Addis_Ababa10 ኛ ክፍል/12ተኛ ክፍል ያጠናቀቀ እና 5ተኛ ደረጃ መንጃ ፈቃድ ያለው አግባብ ከሆነ የስራ ልምድ ጋርዋና ሀላፊነቶች- ተሽከርካሪን በጥንቃቄ መንዳት- ጭነትን መጫን፣ መውረድና መጠንቀቅ- ከመጓጓዝ በፊትና በሀላ ተሽከርካሪ መመርመር- የጭነት ሰነዶችን መሙላትና መያዝ- ከሎጂስቲክስ እና ከቢሮ ጋር መግናኘት- የመንገድ ደህንነት ህጐችን መከተል- ቀላል የመኪና ጥገና ማድረግ**Quanitity Required**: 10**Minimum Years Of Experience**: #10_years**Deadline:** March 27, 2026**How To Apply:** የማመልከቻ መመርያ፡ከላይ ያሉትን መስፈርቶች የምታሟሉ ",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158776
የሥራ ቦታ,hahujobs,"**Driver I**#ethiopian_engineering_corporation#transportation_and_logistics#Addis_Ababa12ኛ ክፍል ያጠናቀቀ እና 3ተኛ ደረጃ መንጃ ፈቃድ ያለው አግባብ ከሆነ የስራ ልምድ ጋርዋና ሀላፊነቶች- ተሽከርካሪን በጥንቃቄ መንዳት- ከመጓጓዝ በፊትና በሀላ ተሽከርካሪ መመርመር- የጭነት ሰነዶችን መሙላትና መያዝ- ከሎጂስቲክስ እና ከቢሮ ጋር መግናኘት- የመንገድ ደህንነት ህጐችን መከተል- ቀላል የመኪና ጥገና ማድረግ**Quanitity Required**: 10**Minimum Years Of Experience**: #2_years**Maximum Years Of Experience**: #6_years**Deadline:** March 27, 2026**How To Apply:** ከላይ ያሉትን መስፈርቶች የምታሟሉ አመልካቾች፣ የትምህርት ማስረጃችሁን እና የስራ ልምዳች",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158775
የሥራ ቦታ,hahujobs,"**Driver IV**#ethiopian_engineering_corporation#transportation_and_logistics#Addis_Ababa12ተኛ ክፍል ያጠናቀቀ እና 4ተኛ ደረጃ መንጃ ፈቃድ ያለው አግባብ ከሆነ የስራ ልምድ ጋርዋና ሀላፊነቶች- ተሽከርካሪን በጥንቃቄ መንዳት- ከመጓጓዝ በፊትና በሀላ ተሽከርካሪ መመርመር- የጭነት ሰነዶችን መሙላትና መያዝ- ከሎጂስቲክስ እና ከቢሮ ጋር መግናኘት- የመንገድ ደህንነት ህጐችን መከተል- ቀላል የመኪና ጥገና ማድረግ**Quanitity Required**: 10**Minimum Years Of Experience**: #2_years**Maximum Years Of Experience**: #6_years**Deadline:** March 27, 2026**How To Apply:** ከላይ ያሉትን መስፈርቶች የምታሟሉ አመልካቾች፣ የትምህርት ማስረጃችሁን እና የስራ ልም",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158774
የሥራ ቦታ,hahujobs,**Driver V**#ethiopian_engineering_corporation#transportation_and_logistics#Addis_Ababa12ተኛ ክፍል ያጠናቀቀ እና ልዩ መንጃ ፈቃድ ያለው አግባብ ከሆነ የስራ ልምድ ጋርዋና ሀላፊነቶች- አስቸኳይ ምርመራ እና አስተዳደር እንዲኖረው መንገዶችን በትክክል መከታተል እና የነዳጅ አጠቃቀም እንዲቀነስ ማድረግ።- ከጉዞ በፊት እና ከጉዞ በሀላ መኪናዎችን መፈተሽ- ሁሉንም የመንገድ ህጐች፣ ደህንነት ደንቦች እና የድርጅቱን ፖሊሲዎች መከታተል።- የተመደቡትን መኪናዎች ንጹህ እንዲሆኑ እና በትክክል እንዲጠበቁ ማረጋገጥ፡፡- ከመጓጓዝ በፊትና በሀላ ተሽከርካሪ መመርመር- የጭነት ሰነዶችን መሙላትና መያዝ- ከሎጂስቲክስ እና ከቢሮ ጋር መግናኘት**Quanitity Required**: 10**Minimum Years Of Experience**: #4_years**,ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158773
የሥራ ቦታ,gmail,"**Finance Manager**#snfd_bakery_plc#finance#Addis_AbabaBachelor's Degree or Masters in Accounting or Finance with related field of study with relevant work experience.Duties & Responsibilities:- CNET ERP Super-User: Act as the primary administrator for the CNET ERP system. You will optimize appropriate modules and ensure the system is providing up to date report.- IFRS Financial Reporting: Prepare and oversee monthly, quarterly, and annual financial statements following IFRS.- Internal Controls:",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158772
የሥራ ቦታ,gmail,"**Branch Coordinator**#snfd_bakery_plc#business#Addis_Ababaድግሪ ወይም ዲኘሎማ በሆቴል ማናጅመንት በማርኬቲንግ ማናጅመንት ቢዝነስ አድሚንስትሬሽን ያለው/ያላት አግባብ ከሆነ የስራ ልምድ ጋርዋና ዋና ሀላፊነቶች - እለታዊ ኦፕሬሽኖች ማስተባበር እና የስራ እንቅስቃሴ በትክክል እንዲፈጸም ማረጋገጥ።- የቅርንጫፉን ሰነዶች እና መዝገቦች በትክክል ማደራጀት እና መጠበቅ።- የደንበኞችን ጥያቄዎች፣ አቤቱታዎች እና አገልግሎት ጉዳዮች በሙያዊ መንገድ መመልስ።ክህሎት- መሰረታዊ የኮምፒውተር እውቀት ያለው/ያላት- የእንግሊዝኛ ቋንቋ ቢችል ይመረጣል**Quanitity Required**: 4**Minimum Years Of Experience**: #1_years**Maximum Years Of Experience**: #2_years**Deadline:** March 21, 2026**Ho","computer, marketing",💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158771
የሥራ ቦታ,hahujobs,"**Project Manager**#mers_consulting_and_construction_plc#engineering#Addis_AbabaBachelor's Degree In Civil Engineering, Construction Management, or with related field of study with relevant work experience.Duties & Responsibilities:- Lead and manage overall site execution to ensure works progress according to approved schedules, specifications, and project targets- Monitor project schedules, daily progress, and resource utilization to maintain delivery targets- Oversee subcontractor performance ",communication,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@hahujobs,158770
